"Countries, territories and areas",Existence_functioning_dementia_awareness_campaign_2017,Existence_functioning_risk_reduction_campaign_2017,Implementation_dementia_awareness_campaign_2017,Implementation_dementia_risk_reduction_campaign_2017
Australia,Yes,Yes,National,Sub-national
Austria,Yes,No,National,Not applicable
Bangladesh,Yes,Yes,National,National
Belgium,Yes,Yes,Sub-national,Sub-national
Belize,No,No,Not applicable,Not applicable
Brazil,Yes,No,Sub-national,Not applicable
Brunei Darussalam,Yes,Yes,Sub-national,National
Canada,Yes,Not available,National,Not available
Chile,Yes,No,National,Not applicable
China,Yes,No,National,Not applicable
Cook Islands,No,No,Not applicable,Not applicable
Cyprus,Yes,Yes,Sub-national,Sub-national
Czechia,No,No,Not applicable,Not applicable
Denmark,Yes,No,National,Not applicable
Dominican Republic,No,No,Not applicable,Not applicable
Estonia,No,No,Not applicable,Not applicable
Eswatini,No,No,Not applicable,Not applicable
Fiji,No,No,Not applicable,Not applicable
Finland,Yes,Yes,National,National
France,Yes,No,National,Not applicable
Germany,Yes,Yes,Sub-national,National
Greece,Yes,No,Sub-national,Not applicable
Grenada,No,No,Not applicable,Not applicable
Guyana,No,No,Not applicable,Not applicable
Hungary,Yes,Yes,National,National
India,Yes,Yes,National,National
Iran (Islamic Republic of),No,Yes,Not applicable,National
Ireland,Yes,No,National,Not available
Israel,Yes,No,National,Not applicable
Italy,Yes,Yes,National,National
Japan,Yes,Yes,National,National
Jordan,No,No,Not applicable,Not applicable
Lebanon,No,No,Not applicable,Not applicable
Lithuania,No,Yes,Not applicable,Sub-national
Malaysia,Yes,Yes,National,National
Maldives,No,No,Not applicable,Not applicable
Malta,Yes,No,National,Not applicable
Mauritius,Yes,No,National,Not applicable
Morocco,Yes,Yes,National,National
Myanmar,Yes,No,Sub-national,Not applicable
Netherlands,Yes,No,National,Not applicable
Norway,No,Yes,Not applicable,National
Oman,No,Yes,Not applicable,Sub-national
Pakistan,No,No,Not applicable,Not applicable
Poland,No,No,Not applicable,Not applicable
Qatar,Yes,Yes,National,National
Republic of Korea,Yes,Yes,National,National
Saint Lucia,No,No,Not applicable,Not applicable
Singapore,Yes,Yes,National,National
Slovenia,Yes,Yes,Sub-national,National
South Africa,Yes,No,Sub-national,Not applicable
Sweden,Yes,No,National,Not applicable
Switzerland,Yes,Yes,National,National
Thailand,Yes,Yes,Sub-national,Sub-national
Togo,No,Yes,Not applicable,National
Trinidad and Tobago,Yes,Yes,Sub-national,National
Tunisia,Yes,No,National,Not applicable
Türkiye,Yes,No,National,Not applicable
United Kingdom of Great Britain and Northern Ireland,Yes,Yes,National,National
United States of America,Yes,Yes,National,National
Vietnam,No,No,Not applicable,Not applicable
